"lake","site","year","lc_category","catchment","area_ha","area_pct"
"Rotoehu","3",1996,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",1997,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",1998,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",1999,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2000,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2001,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2002,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2003,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2004,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2005,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2006,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2007,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2008,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2009,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2010,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2011,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2012,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2013,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2014,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2015,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2016,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2017,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",2018,"aq_vegetation","Lake Rotoehu",58.7118752803958,1.28725611262549
"Rotoehu","3",1996,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",1997,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",1998,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",1999,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2000,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2001,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2002,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2003,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2004,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2005,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2006,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2007,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2008,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2009,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2010,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2011,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2012,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2013,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2014,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2015,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2016,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2017,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",2018,"decid_hardwood","Lake Rotoehu",1.82031646372999,0.039910384120053
"Rotoehu","3",1996,"exotic_forest","Lake Rotoehu",900.02908043448,19.7331107173276
"Rotoehu","3",1997,"exotic_forest","Lake Rotoehu",900.02908043448,19.7331107173276
"Rotoehu","3",1998,"exotic_forest","Lake Rotoehu",900.02908043448,19.7331107173276
"Rotoehu","3",1999,"exotic_forest","Lake Rotoehu",900.02908043448,19.7331107173276
"Rotoehu","3",2000,"exotic_forest","Lake Rotoehu",900.02908043448,19.7331107173276
"Rotoehu","3",2001,"exotic_forest","Lake Rotoehu",1209.38456019161,26.5157203749095
"Rotoehu","3",2002,"exotic_forest","Lake Rotoehu",1209.38456019161,26.5157203749095
"Rotoehu","3",2003,"exotic_forest","Lake Rotoehu",1209.38456019161,26.5157203749095
"Rotoehu","3",2004,"exotic_forest","Lake Rotoehu",1209.38456019161,26.5157203749095
"Rotoehu","3",2005,"exotic_forest","Lake Rotoehu",1209.38456019161,26.5157203749095
"Rotoehu","3",2006,"exotic_forest","Lake Rotoehu",1209.38456019161,26.5157203749095
"Rotoehu","3",2007,"exotic_forest","Lake Rotoehu",1209.38456019161,26.5157203749095
"Rotoehu","3",2008,"exotic_forest","Lake Rotoehu",1113.46121776078,24.4126039559934
"Rotoehu","3",2009,"exotic_forest","Lake Rotoehu",1113.46121776078,24.4126039559934
