"date","air_temp","rain","air_pressure","shortwave","longwave","windspeed","lake"
1980-01-01,14.9039,16.1941,97078.7,220.713,353.624,2.15876568679882,"Rotoehu"
1980-01-02,14.48,0.321682,96885.1,263.741,349.447,4.56624870599971,"Rotoehu"
1980-01-03,13.9818,0.267722,97240.4,292.91,307.259,3.42037493595366,"Rotoehu"
1980-01-04,14.5529,0.271873,97768.2,318.8,308.919,4.19329540246201,"Rotoehu"
1980-01-05,14.4352,0.0332059,97975,306.881,304.25,3.56969005727388,"Rotoehu"
1980-01-06,15.1228,3.02588,97876.1,340.655,337.858,1.6440771207264,"Rotoehu"
1980-01-07,16.3358,3.47624,97842.2,240.461,355.869,1.30869836583569,"Rotoehu"
1980-01-08,16.319,3.52812,98099.9,224.959,371.604,1.96141402795636,"Rotoehu"
1980-01-09,16.6059,1.84708,98346.4,273.627,371.088,1.38129176944229,"Rotoehu"
1980-01-10,17.8082,3.56755,98052.5,314.685,343.05,1.46989678053518,"Rotoehu"
1980-01-11,18.9681,4.37487,97645.5,225.74,371.946,1.40243294099932,"Rotoehu"
1980-01-12,18.301,3.24795,97280.5,311.815,386.798,2.39165488750028,"Rotoehu"
1980-01-13,20.3102,0.0975422,97423.9,349.438,348.825,3.82010700687821,"Rotoehu"
1980-01-14,20.4453,12.2924,97252.9,267.906,383.882,3.39852107979339,"Rotoehu"
1980-01-15,20.6597,14.3864,96606.8,168.561,401.072,3.06643650095677,"Rotoehu"
1980-01-16,15.938,11.2257,95276.3,259.663,354.557,5.62694956986465,"Rotoehu"
1980-01-17,12.2806,4.65712,95531.5,289.867,313.42,4.93726803737614,"Rotoehu"
1980-01-18,14.0211,1.65822,96951.6,283.235,346.345,3.73521765452082,"Rotoehu"
1980-01-19,17.1396,11.4,97313.3,200.562,366.723,4.65875308725414,"Rotoehu"
1980-01-20,16.2748,30.292,97520.5,94.1693,382.322,2.85293754724845,"Rotoehu"
1980-01-21,16.0753,36.1031,97484.4,129.295,387.774,2.04742210700285,"Rotoehu"
1980-01-22,16.9605,36.1031,96871.8,194.284,384.585,3.54421270220905,"Rotoehu"
1980-01-23,15.132,1.52747,97329.6,215.99,346.046,3.35361993314687,"Rotoehu"
1980-01-24,16.4344,1.68727,97609.8,271.371,361.93,3.41439540330349,"Rotoehu"
1980-01-25,16.509,0.608082,98029,313.885,319.276,1.92401757524743,"Rotoehu"
1980-01-26,18.1766,0.141125,98441.3,352.19,345.549,1.045380109828,"Rotoehu"
1980-01-27,19.4376,0.141125,98555.6,316.941,360.699,1.13943037187711,"Rotoehu"
1980-01-28,19.6978,0.157728,98686.5,277.873,369.328,1.13044128361494,"Rotoehu"
1980-01-29,19.3618,0.130748,98780.3,286.08,367.575,0.861527474274616,"Rotoehu"
1980-01-30,19.6212,0.153577,98774.2,269.276,369.223,1.26489600391973,"Rotoehu"
1980-01-31,19.9578,0.071744,98730,300.923,367.294,1.10498253209225,"Rotoehu"
1980-02-01,20.7552,0.0866906,98527.7,332.277,364.859,1.18402936673209,"Rotoehu"
1980-02-02,19.7403,0.0866906,98122.5,329.328,342.778,1.18917959722239,"Rotoehu"
1980-02-03,18.553,0.128541,97699.6,336.598,342.6,1.90793947287014,"Rotoehu"
1980-02-04,19.1561,0.418506,97541.6,284.02,358.525,2.33339331352432,"Rotoehu"
1980-02-05,19.4515,0.427474,97485.6,255.849,365.865,0.47534331184383,"Rotoehu"
1980-02-06,20.4956,0.170392,97099.8,291.067,358.586,0.93662408126046,"Rotoehu"
1980-02-07,20.3245,1.18676,97146.4,260.08,362.658,2.1713991976364,"Rotoehu"
1980-02-08,17.9678,1.18676,97820,249.465,348.922,1.43616557563855,"Rotoehu"
1980-02-09,19.2809,1.69196,97665.2,274.804,359.402,2.22211312199902,"Rotoehu"
1980-02-10,17.0765,1.69196,97525.8,254.187,343.06,2.37927505815448,"Rotoehu"
1980-02-11,15.4209,0.0119573,98155,290.163,326.081,2.78307439122654,"Rotoehu"
1980-02-12,15.5332,17.3501,98849.5,230.008,361.56,4.124053500926,"Rotoehu"
1980-02-13,16.4468,18.3126,98652.8,136.621,377.657,4.89880906476258,"Rotoehu"
1980-02-14,16.9604,2.55588,98528.7,136.938,377.994,4.33787638957417,"Rotoehu"
1980-02-15,16.2456,0.176371,98479.6,190.849,352.074,3.94393420577233,"Rotoehu"
1980-02-16,17.7382,1.65908,98333.2,218.345,352.117,3.44516637933497,"Rotoehu"
1980-02-17,17.5944,2.3526,97912.4,214.934,351.332,2.94799700001543,"Rotoehu"
1980-02-18,16.807,5.5751,97535.8,219.271,355.95,0.599877132270434,"Rotoehu"
1980-02-19,16.9961,5.61098,97421.7,255.615,336.91,0.272846244249394,"Rotoehu"
1980-02-20,17.6873,0.53808,97015.8,228.297,338.835,2.67505463267276,"Rotoehu"
1980-02-21,16.3393,4.92343,96772.9,189.74,365.117,3.76691767854037,"Rotoehu"
1980-02-22,17.1117,5.00713,96772.1,228.158,381.63,3.76679922576184,"Rotoehu"
1980-02-23,15.5929,4.15218,96953.5,260.075,337.627,3.42645719984943,"Rotoehu"
