"lake","site","date","chla_ugL_INT","top_DRP_ugL","bottom_DRP_ugL","top_NH4_ugL","bottom_NH4_ugL","top_NO3_ugL","bottom_NO3_ugL","top_pH","bottom_pH","secchi_m","top_TN_ugL","bottom_TN_ugL","top_TP_ugL","bottom_TP_ugL","top_turbidity_NTU","bottom_turbidity_NTU","TN_TP","DN_DP","DN_TN","DP_TP"
"Rotoehu","3",2000-07-11,9.9,2,2,49,54,15,17,7.8,7.7,2.8,411,400,20,21,3.1,2.4,20.55,32,0.155717761557178,0.1
"Rotoehu","3",2000-08-23,6.7,3,2,43,45,74,69,7.6,7.6,2.8,495,442,18,18,3,2.6,27.5,39,0.236363636363636,0.166666666666667
"Rotoehu","3",2000-09-28,7,9,8,86.5,88,96.5,96,7.8,7.8,3,501,502,28.5,27,2.2,2.3,17.5789473684211,20.3333333333333,0.365269461077844,0.315789473684211
"Rotoehu","3",2000-10-25,6.9,2.5,4,5,97,13,42,8.4,7.9,1.4,415,480,19,22,4.25,2.7,21.8421052631579,7.2,0.0433734939759036,0.131578947368421
"Rotoehu","3",2000-11-28,17.1,2,16,3,8,0.5,0.5,8.15,8.2,1.3,557,543.5,30.5,31,10.7,8.3,18.2622950819672,1.75,0.00628366247755835,0.0655737704918033
"Rotoehu","3",2000-12-15,21.5,3,17,2.5,156,1.75,3,8.4,7.6,1.4,551.25,500,26,28,8.75,3.4,21.2019230769231,1.41666666666667,0.00770975056689342,0.115384615384615
"Rotoehu","3",2001-01-18,18.3,9.5,11,4.5,2,2,2,8.065,8.05,1.7,613.5,697,51.5,56,8,14,11.9126213592233,0.684210526315789,0.0105949470252649,0.184466019417476
"Rotoehu","3",2001-02-14,12.6,14.5,33,4,143,0.5,1,7.855,7.43,2.4,520.5,497,46.5,50,4.6,1.7,11.1935483870968,0.310344827586207,0.00864553314121038,0.311827956989247
"Rotoehu","3",2001-03-21,17,38,39,7.5,13,0.5,2,7.75,7.7,2,520,422,59,54,4.45,3.6,8.8135593220339,0.210526315789474,0.0153846153846154,0.644067796610169
"Rotoehu","3",2001-04-18,10.9,27,28,12,18,0.5,0.5,7.75,7.6,2.2,391,393.5,54.5,53,3.05,3.2,7.1743119266055,0.462962962962963,0.0319693094629156,0.495412844036697
"Rotoehu","3",2001-05-22,16.5,17,17,32,28,14,12,7.65,7.7,2.6,474.5,497,48,47,3.75,3.4,9.88541666666667,2.70588235294118,0.0969441517386723,0.354166666666667
"Rotoehu","3",2001-06-21,7.4,8,8,25.5,26,8.5,10,7.65,7.6,3.4,408,355,30.5,28,1.8,1.1,13.3770491803279,4.25,0.0833333333333333,0.262295081967213
"Rotoehu","3",2001-07-19,12.7,2,2,4,3,5,6,6.7,6.7,3,350.5,334,14,14,1.32,1.8,25.0357142857143,4.5,0.0256776034236805,0.142857142857143
"Rotoehu","3",2001-08-22,8.6,3,4,2,3,3,4,7.6,7.6,2.4,409,389,21,18,3.8,3.3,19.4761904761905,1.66666666666667,0.0122249388753056,0.142857142857143
"Rotoehu","3",2001-09-18,8,4,4.18181818181818,26,5.95454545454546,27,6.33333333333333,7.7,7.61428571428571,2.3,449,388.714285714286,23,17.8571428571429,3.2,3.22857142857143,19.5217391304348,13.25,0.11804008908686,0.173913043478261
"Rotoehu","3",2001-10-16,17.7,3,4.36363636363636,8,8.90909090909091,18,8.66666666666667,7.9,7.62857142857143,2.6,379,388.428571428571,24,17.7142857142857,1.9,3.15714285714286,15.7916666666667,8.66666666666667,0.0686015831134565,0.125
"Rotoehu","3",2001-11-20,23,3,4.54545454545454,4,11.8636363636364,0.5,11,8.44,7.64285714285714,1.8,466.5,388.142857142857,32,17.5714285714286,6,3.08571428571429,14.578125,1.5,0.00964630225080386,0.09375
"Rotoehu","3",2001-12-10,10.2,36,4.72727272727273,117,14.8181818181818,9,13.3333333333333,7.41,7.65714285714286,1.8,479,387.857142857143,51,17.4285714285714,3,3.01428571428571,9.3921568627451,3.5,0.263048016701461,0.705882352941177
"Rotoehu","3",2002-01-22,25,23,4.90909090909091,168,17.7727272727273,18,15.6666666666667,8.2,7.67142857142857,1.8,714,387.571428571429,63,17.2857142857143,2.6,2.94285714285714,11.3333333333333,8.08695652173913,0.260504201680672,0.365079365079365
"Rotoehu","3",2002-02-12,20.9,17,5.09090909090909,47,20.7272727272727,3,18,8.2,7.68571428571429,1.5,613,387.285714285714,45,17.1428571428571,5.5,2.87142857142857,13.6222222222222,2.94117647058824,0.0815660685154976,0.377777777777778
"Rotoehu","3",2002-03-19,17.2,10,5.27272727272727,16,23.6818181818182,2,20.3333333333333,8.11,7.7,1.9,552,387,34,17,4.85,2.8,16.2352941176471,1.8,0.0326086956521739,0.294117647058824
"Rotoehu","3",2002-04-16,10.7,11,5.45454545454546,23,26.6363636363636,2,22.6666666666667,7.93,7.71428571428571,1.9,401,386.714285714286,25,16.8571428571429,4.2,2.72857142857143,16.04,2.27272727272727,0.0623441396508728,0.44
"Rotoehu","3",2002-05-22,8.2,20,5.63636363636364,95,29.5909090909091,20,25,7.8,7.72857142857143,2.2,439,386.428571428571,40,16.7142857142857,3.8,2.65714285714286,10.975,5.75,0.261958997722096,0.5
"Rotoehu","3",2002-06-10,12.2,20,5.81818181818182,139,32.5454545454545,38,27.3333333333333,8,7.74285714285714,2.2,573,386.142857142857,36,16.5714285714286,3.1,2.58571428571429,15.9166666666667,8.85,0.308900523560209,0.555555555555556
"Rotoehu","3",2002-07-24,24.6,4,6,50,35.5,68,29.6666666666667,7.99,7.75714285714286,2.3,401,385.857142857143,17,16.4285714285714,3.6,2.51428571428571,23.5882352941176,29.5,0.29426433915212,0.235294117647059
